SKU|Make|Model|Year|Submodel|ourBodyTypeName|_BodyNumDoors_|Universal SKU|SKU_Naumkin|Required SKU|Optional SKU|Available|Available1|ourMake|Fitment_note|ourRealModel|_MfrBodyCodeName_|ourModel|Available2|Processing|Brand|_BodyTypeName_|Part#1|NumDoor|Length_b|MMY
C0789CC-GB|Chevrolet|Silverado 1500|2007|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|Chevrolet|Silverado 1500|2008|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|Chevrolet|Silverado 1500|2009|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|Chevrolet|Silverado 1500|2010|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|Chevrolet|Silverado 1500|2011|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|Chevrolet|Silverado 1500|2012|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|Chevrolet|Silverado 1500|2013|||||C0789CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2007|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2008|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2009|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2010|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2011|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2012|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C0789CC-GB|GMC|Sierra 1500|2013|||||C0789CC-GB|||||GMC||||||True|RBP®|Crew Cab Pickup|C0789CC-GB||5'6" Bed|
C11100CC-GB|Chevrolet|Silverado 2500 HD|2011|||||C11100CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C11100CC-GB||6'6" Bed|
C11100CC-GB|Chevrolet|Silverado 2500 HD|2012|||||C11100CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C11100CC-GB||6'6" Bed|
C11100CC-GB|Chevrolet|Silverado 2500 HD|2013|||||C11100CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C11100CC-GB||6'6" Bed|
C11100CC-GB|Chevrolet|Silverado 2500 HD|2014|||||C11100CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C11100CC-GB||6'6" Bed|
C11100CC-GB|Chevrolet|Silverado 3500 HD|2011|||||C11100CC-GB|||||Chevy||||||True|RBP®|Crew Cab Pickup|C11100CC-GB||6'6" Bed|
