SKU|CORE DEPOSIT|CF SHIPPING|SBOX|Available|BRANDNAME|PACKAGE|SHIPPINGTYPE|Templates|forname1|forname2|Core|Valid|Price|Height|Length|Width|Weight|UPC|DATA SOURCE|IN STOCK|MainProduct|VENDORID
117.42043|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|10.58|2.00|9.00|6.00|0.50|805890380016|||M|
117.43006|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|12.64|2.00|9.00|6.00|0.20|805890099840|||M|
117.43007|||||Centric®|||Centric Disc Brake Hardware||Disc Brake Hardware||True|13.77|2.00|9.00|6.00|0.20|805890099857|||M|
142.40021|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|150|True|86.16|5.38|9.38|7.25|10.40|805890611318|||M|
142.40022|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|150|True|86.16|5.38|9.38|7.25|10.40|805890611608|||M|
142.40023|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|35|True|68.31|5.38|9.38|7.25|8.00|805890612018|||M|
142.40024|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|35|True|68.31|5.38|9.38|7.25|15.00|805890612308|||M|
142.40033|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|73.70|5.38|9.38|7.25|12.80|805890630418|||M|
142.40034|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|30|True|73.70|5.38|9.38|7.25|12.80|805890630708|||M|
142.40041|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|7|True|48.84|5.38|9.38|7.25|7.00|805890641018|||M|
142.40043|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|7|True|50.30|5.38|9.38|7.25|9.00|805890642008|||M|
142.40042|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|7|True|48.84|5.38|9.38|7.25|7.00|805890641308|||M|
142.40044|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|7|True|50.30|5.38|9.38|7.25|9.00|805890650218|||M|
142.40049|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|True|56.51|5.38|9.38|7.25|12.00|805890213727|||M|
142.40053|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|10|True|62.09|5.38|9.38|7.25|11.00|805890215127|||M|
142.40054|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|10|True|62.09|5.38|9.38|7.25|11.00|805890215417|||M|
142.40060|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|15|False|68.31|5.38|9.38|7.25|11.00|805890220367|||M|
142.40061|||||Centric®|||Centric Posi Quiet Loaded Brake Caliper|Posi Quiet™|Loaded Brake Caliper|150|True|72.04|5.38|9.38|7.25|14.50|805890220657|||M|
